Species,threshold
Abutilon_theophrasti,0.450371124
Agrostemma_githago,0.023523811
Anagallis_arvensis,0.102656339
Asemeia_violacea,0.177785141
Bidens_vulgata,0.033488393
Catharanthus_roseus,0.069311362
Chamaecrista_fasciculata,0.382223813
Chamaecrista_nictitans,0.210623339
Coreopsis_basalis,0.031838332
Coreopsis_tinctoria,0.27611753
Datura_stramonium,0.347895673
Eustoma_exaltatum,0.114476333
Helenium_amarum,0.221363351
Helianthus_annuus,0.294417664
Helianthus_debilis,0.066230594
Hibiscus_moscheutos,0.310035623
Hibiscus_trionum,0.252276521
Houstonia_pusilla,0.261138058
Impatiens_capensis,0.627271769
Impatiens_pallida,0.312659592
Ipomoea_alba,0.061721806
Ipomoea_coccinea,0.120344193
Ipomoea_hederacea,0.194678659
Ipomoea_hederifolia,0.246511092
Ipomoea_indica,0.037972987
Ipomoea_lacunosa,0.200245146
Ipomoea_purpurea,0.386483391
Ipomoea_quamoclit,0.236190958
Lobelia_flaccidifolia,0.029575821
Malva_neglecta,0.137259444
Orobanche_uniflora,0.094196034
Oxalis_corniculata,0.324731813
Oxalis_grandis,0.043645855
Phlox_drummondii,0.052589098
Physalis_angulata,0.086594736
Physalis_pubescens,0.133414703
Pinguicula_pumila,0.022915488
Rudbeckia_hirta,0.596363969
Sabatia_angularis,0.207972935
Sabatia_bartramii,0.107632804
Sabatia_brevifolia,0.064375857
Sabatia_grandiflora,0.078870574
Sabatia_stellaris,0.178156176
Senna_occidentalis,0.05449827
Silene_noctiflora,0.027167172
Sisyrinchium_rosulatum,0.134286387
Solanum_americanum,0.193094497
Solanum_carolinense,0.625583661
Solanum_dulcamara,0.412139347
Solanum_lycopersicum,0.195148639
Solanum_nigrum,0.080695058
Solanum_ptycanthum,0.058178717
Solanum_rostratum,0.071802854
Utricularia_cornuta,0.19987157
Utricularia_juncea,0.040820759
Viola_bicolor,0.270420334
Viola_tricolor,0.020688227
