Gridcode,BD,Sand,Clay,Silt,CRF
100588,720.66,37.134,18.975,43.873,19.243
100589,866.993,38.949,17.968,43.056,16.928
100590,1043.308,33.137,21.03,45.8,11.461
100591,1004.68,35.442,19.775,44.767,15.089
100592,1095.469,36.617,18.958,44.398,11.014
100593,1155.851,36.608,18.777,44.605,5.663
100594,1119.353,42.124,16.996,40.838,6.041
100595,1119.307,44.676,15.048,40.249,4.185
100596,1124.474,48.621,13.489,37.858,3.822
100597,1132.468,53.59,9.549,36.817,0.792
100598,1107.74,69.338,6.229,24.28,1.001
100599,1065.537,67.333,7.857,24.703,1.692
100600,1131.401,26.614,21.929,51.446,8.18
100601,1075.047,27.512,20.909,51.569,9.576
100602,1051.094,28.294,20.777,50.931,12.523
100603,1004.427,28.31,20.617,51.051,14.066
100604,963.436,29.588,21.443,48.999,11.985
100605,858.993,33.695,20.693,45.588,16.497
100606,737.975,36.34,19.667,43.968,19.51
100607,932.536,36.534,18.937,44.494,15.926
100608,946.869,37.724,18.118,44.133,15.37
100609,1041.097,33.69,20.272,45.991,12.432
100610,1074.511,32.332,20.082,47.612,10.867
100611,1131.59,33.156,19.572,47.251,7.699
100612,1114.464,39.405,17.977,42.613,5.358
100613,1109.834,41.907,16.497,41.556,4.745
100614,1089.918,47.091,14.589,38.265,3.61
100615,1143.688,45.715,10.887,43.346,1.138
100616,1114.089,59.381,8.157,32.386,1.231
100617,1068.433,27.269,20.855,51.86,9.479
100618,1050.029,25.982,21.071,52.882,10.814
100619,1005.584,25.327,21.646,52.952,13.203
100620,1045.402,25.996,21.732,52.24,11.073
100621,941.223,30.484,21.392,48.137,15.43
100622,764.625,35.499,19.61,44.873,17.49
100623,876.204,36.112,19.262,44.609,16.149
100624,981.479,34.326,18.643,47.02,13.328
100625,1004.921,34.289,18.344,47.322,12.287
100626,1157.877,26.178,22.633,51.207,5.991
100627,1127.526,29.904,20.607,49.509,7.734
100628,1135.581,32.253,19.347,48.415,6.217
100629,1115.017,37.379,17.293,45.323,6.344
100630,1088.81,42.999,15.712,41.255,4.736
100631,1137.941,38.923,13.086,47.938,2.155
100632,1103.884,45.963,10.946,43.018,1.487
100633,940.922,70.024,6.401,23.574,3.151
100634,1047.63,26.429,20.47,53.086,10.724
100635,972.614,25.256,21.864,52.82,14.136
100636,1012.252,25.36,21.612,53.004,10.546
100637,946.66,28.918,21.563,49.514,13.754
100638,823.811,33.878,20.341,45.78,16.715
100639,820.022,37.025,18.754,44.201,17.132
100640,986.453,33.558,19.3,47.142,12.973
100641,984.836,34.579,18.204,47.2,12.942
100642,1074.385,31.567,19.766,48.655,9.913
100643,1158.347,26.567,21.727,51.729,5.77
100644,1114.254,29.722,20.357,49.919,8.397
100645,1124.473,31.166,18.516,50.308,6.349
100646,1049.279,35.609,17.516,46.917,7.11
100647,1073.169,37.602,16.23,46.168,5.468
100648,1055.024,39.354,14.759,45.888,4.711
100649,1084.306,39.675,13.582,46.701,2.563
100650,1068.225,52.318,10.317,37.324,2.118
100651,980.238,69.07,6.13,24.757,2.994
100652,922.323,73.203,6.157,20.596,3.43
100653,1009.843,23.685,21.589,54.705,11.667
100654,1031.996,23.66,21.865,54.448,11.251
100655,1056.416,25.702,21.902,52.378,9.186
100656,841.771,33.884,20.371,45.763,17.037
100657,802.262,35.98,19.027,44.987,16.619
100658,885.915,36.009,19.27,44.715,16.56
100659,953.618,34.956,18.649,46.386,13.522
100660,1028.965,33.979,18.549,47.465,11.596
100661,1219.486,25.582,21.738,52.693,5.828
