Species,threshold
Opuntia_pusilla,0.136815313
Opuntia_stricta,0.129622257
Ornithogalum_umbellatum,0.553681889
Orobanche_uniflora,0.518115322
Orthilia_secunda,0.352506353
Oxalis_corniculata,0.717357296
Oxalis_debilis,0.155782435
Oxalis_dillenii,0.639725714
Oxalis_grandis,0.215935483
Oxalis_montana,0.437983855
Oxalis_rubra,0.077402682
Oxalis_violacea,0.570745232
Parnassia_glauca,0.317267095
Passiflora_incarnata,0.483630112
Passiflora_lutea,0.264987394
Passiflora_suberosa,0.08626617
Paulownia_tomentosa,0.439511423
Phaseolus_polystachios,0.193809861
Phlox_amoena,0.228762596
Phlox_carolina,0.186714293
Phlox_divaricata,0.465841244
Phlox_drummondii,0.193736368
Phlox_floridana,0.061903083
Phlox_glaberrima,0.289994618
Phlox_maculata,0.40980274
Phlox_nivalis,0.224263039
Phlox_paniculata,0.554487542
Phlox_pilosa,0.149619766
Phlox_stolonifera,0.254737876
Phlox_subulata,0.471180702
Physalis_angulata,0.267270217
Physalis_angustifolia,0.134233695
Physalis_heterophylla,0.627100748
Physalis_longifolia,0.447355359
Physalis_pubescens,0.267034867
Physalis_walteri,0.11424976
Pinguicula_caerulea,0.137684975
Pinguicula_lutea,0.217757076
Pinguicula_pumila,0.167704912
Pogonia_ophioglossoides,0.593945186
Polygonatum_biflorum,0.671737855
Polygonatum_pubescens,0.508266565
Primula_mistassinica,0.073441168
Pyrola_americana,0.528000512
Pyrola_asarifolia,0.192875168
Pyrola_chlorantha,0.328334043
Pyrola_elliptica,0.596706249
Rhizophora_mangle,0.033350924
Rosa_blanda,0.674529432
Rosa_carolina,0.750824857
Rosa_gallica,0.104354666
Rosa_nitida,0.147792782
Rosa_palustris,0.762436746
Rosa_virginiana,0.464255599
Rubus_arenicola,0.076510146
Rubus_argutus,0.430020618
Rubus_chamaemorus,0.052694145
Rubus_cuneifolius,0.335821357
Rubus_elegantulus,0.121965734
Rubus_frondosus,0.16547462
Rubus_laciniatus,0.113872397
Rubus_occidentalis,0.647160959
Rubus_odoratus,0.570295137
Rubus_pubescens,0.377538208
Rubus_recurvicaulis,0.196784099
Rubus_semisetosus,0.204916748
Rubus_trivialis,0.331855813
Rubus_vermontanus,0.105759879
Rudbeckia_fulgida,0.332746728
Rudbeckia_hirta,0.923395683
Rudbeckia_laciniata,0.759888804
Rudbeckia_triloba,0.411978714
Ruellia_caroliniensis,0.461214948
Sabatia_angularis,0.286633958
Sabatia_bartramii,0.103227431
Sabatia_brevifolia,0.210675177
Sabatia_calycina,0.18224001
Sabatia_campanulata,0.267277912
Sabatia_difformis,0.255203899
Sabatia_dodecandra,0.139389843
Sabatia_grandiflora,0.131443482
Sabatia_stellaris,0.183109234
Sagittaria_australis,0.164658718
Sagittaria_calycina,0.171429322
Sagittaria_cuneata,0.173718912
Sagittaria_engelmanniana,0.140158191
Sagittaria_lancifolia,0.271403628
Sagittaria_latifolia,0.877019621
Sagittaria_montevidensis,0.205408717
Sagittaria_rigida,0.300754973
Sagittaria_teres,0.11329906
Sarracenia_flava,0.394890961
Sarracenia_minor,0.319944661
Sarracenia_psittacina,0.147348105
Sarracenia_purpurea,0.58176208
Sarracenia_rubra,0.163510805
Scheuchzeria_palustris,0.246250066
Senna_obtusifolia,0.43517953
Senna_occidentalis,0.139263066
Silene_caroliniana,0.313714831
Silene_dioica,0.179676157
Silene_latifolia,0.623343026
Silene_noctiflora,0.403233075
Silene_virginica,0.296108848
Sisyrinchium_angustifolium,0.817328352
Sisyrinchium_atlanticum,0.372705443
Sisyrinchium_fuscatum,0.258726303
Sisyrinchium_montanum,0.36698982
Sisyrinchium_mucronatum,0.488179933
Sisyrinchium_nashii,0.203599546
Sisyrinchium_rosulatum,0.218283005
Solanum_americanum,0.352447209
Solanum_carolinense,0.793535307
Solanum_dulcamara,0.542777856
Solanum_lycopersicum,0.294411255
Solanum_nigrum,0.290706968
Solanum_ptycanthum,0.620227143
Solanum_rostratum,0.398652752
Staphylea_trifolia,0.456226707
Stewartia_malacodendron,0.144797017
Stewartia_ovata,0.058522363
Styrax_americanus,0.330097511
Styrax_grandifolius,0.222934383
Tribulus_cistoides,0.060380619
Trientalis_borealis,0.263802163
Trillium_catesbaei,0.203035278
Trillium_cernuum,0.382661224
Trillium_cuneatum,0.152060771
Trillium_erectum,0.398263532
Trillium_grandiflorum,0.378485386
Trillium_maculatum,0.107341673
Trillium_rugelii,0.121382663
Trillium_undulatum,0.48446441
Trillium_vaseyi,0.020040881
Urena_lobata,0.133709328
Utricularia_cornuta,0.40170465
