Species,threshold
Abutilon_theophrasti,0.624085747
Agrostemma_githago,0.487107153
Albizia_julibrissin,0.501698636
Allamanda_cathartica,0.223552832
Anagallis_arvensis,0.510758037
Anemone_canadensis,0.345233939
Anemone_cylindrica,0.167474876
Anemone_hepatica,0.67214574
Anemone_quinquefolia,0.696421153
Anemone_virginiana,0.687151567
Aquilegia_canadensis,0.672293785
Arisaema_dracontium,0.488774984
Arisaema_triphyllum,0.929433163
Aristolochia_macrophylla,0.158818107
Aristolochia_serpentaria,0.316738447
Asarum_canadense,0.556221796
Asemeia_violacea,0.312979667
Asimina_angustifolia,0.069349346
Asimina_incana,0.203357916
Asimina_obovata,0.201879297
Asimina_parviflora,0.398705005
Asimina_pygmea,0.198625142
Asimina_reticulata,0.067966267
Asimina_spatulata,0.137662668
Asimina_triloba,0.58855038
Bidens_vulgata,0.472183416
Bignonia_capreolata,0.320710423
Calopogon_barbatus,0.212476061
Calopogon_pallidus,0.156115756
Calopogon_tuberosus,0.63659805
Calycanthus_floridus,0.437350118
Calystegia_catesbeiana,0.090994466
Calystegia_sepium,0.751395911
Calystegia_silvatica,0.112066181
Calystegia_spithamaea,0.463932897
Campsis_radicans,0.6711573
Canna_flaccida,0.16510016
Catalpa_bignonioides,0.262346788
Catalpa_speciosa,0.475181637
Catharanthus_roseus,0.170466138
Celastrus_orbiculatus,0.484048159
Centaurea_stoebe,0.493411571
Centrosema_virginianum,0.33447012
Chamaecrista_fasciculata,0.583539492
Chamaecrista_nictitans,0.518215813
Chimaphila_umbellata,0.445853846
Cirsium_arvense,0.607061372
Cirsium_discolor,0.426120867
Cladrastis_kentukea,0.104717048
Claytonia_caroliniana,0.516608659
Claytonia_virginica,0.474596415
Clematis_crispa,0.310679582
Clematis_occidentalis,0.311167195
Clematis_reticulata,0.219821423
Clematis_viorna,0.290691709
Clematis_virginiana,0.566464344
Clinopodium_coccineum,0.06745135
Clintonia_borealis,0.579504056
Clintonia_umbellulata,0.292397204
Clitoria_mariana,0.439703171
Coreopsis_auriculata,0.311390051
Coreopsis_basalis,0.249977063
Coreopsis_gladiata,0.379617001
Coreopsis_grandiflora,0.182077494
Coreopsis_lanceolata,0.46391918
Coreopsis_leavenworthii,0.254963845
Coreopsis_linifolia,0.357431245
Coreopsis_major,0.392290402
Coreopsis_nudata,0.088987732
Coreopsis_rosea,0.131172411
Coreopsis_tinctoria,0.459868081
Coreopsis_tripteris,0.206818485
Coreopsis_verticillata,0.359043673
Crinum_americanum,0.099663483
Datura_stramonium,0.609768148
Dicentra_canadensis,0.358067111
Dicentra_cucullaria,0.55648349
Dirca_palustris,0.569237444
Distimake_dissectus,0.188544944
Dodecatheon_meadia,0.114016294
Erythronium_americanum,0.81095261
Erythronium_umbilicatum,0.256659766
Eustoma_exaltatum,0.073040975
Galactia_regularis,0.407121692
Gelsemium_rankinii,0.088596079
Gelsemium_sempervirens,0.510865915
Geranium_maculatum,0.650822851
Geranium_robertianum,0.319499556
Geum_aleppicum,0.443673923
Geum_canadense,0.645999942
Geum_laciniatum,0.54691299
Geum_macrophyllum,0.19488976
Geum_peckii,0.050448654
Geum_rivale,0.379034221
Geum_virginianum,0.283515512
Gordonia_lasianthus,0.389974127
Halesia_carolina,0.179415795
Halesia_diptera,0.097987527
Halesia_tetraptera,0.057960057
Helenium_amarum,0.492613277
Helenium_autumnale,0.55080245
Helenium_flexuosum,0.562428688
Helenium_pinnatifidum,0.183158921
Helenium_vernale,0.159754838
Helianthus_angustifolius,0.348643714
Helianthus_annuus,0.565333579
Helianthus_atrorubens,0.343228694
Helianthus_debilis,0.153373855
Helianthus_decapetalus,0.709192583
Helianthus_divaricatus,0.556888633
Helianthus_giganteus,0.256373485
Helianthus_hirsutus,0.553382321
Helianthus_laetiflorus,0.243761127
Helianthus_radula,0.148155268
Helianthus_strumosus,0.605399579
Hemerocallis_fulva,0.700515646
Hexastylis_arifolia,0.429072157
Hexastylis_heterophylla,0.204248139
Hexastylis_shuttleworthii,0.039491041
Hexastylis_virginica,0.346525847
Hibiscus_aculeatus,0.284479277
Hibiscus_laevis,0.156387798
Hibiscus_moscheutos,0.599642979
Hibiscus_syriacus,0.410126593
Hibiscus_trionum,0.425328921
Houstonia_caerulea,0.752179051
Houstonia_purpurea,0.310964706
Houstonia_pusilla,0.338093381
Hypericum_ascyron,0.195871935
Illicium_floridanum,0.061961203
Impatiens_capensis,0.827016066
Impatiens_pallida,0.541362983
Ionactis_linariifolius,0.472061273
Ipomoea_alba,0.085136369
Ipomoea_coccinea,0.209478751
Ipomoea_cordatotriloba,0.24493441
Ipomoea_hederacea,0.410328716
Ipomoea_hederifolia,0.299453817
Ipomoea_indica,0.109682761
Ipomoea_lacunosa,0.319583179
Ipomoea_pandurata,0.496495454
Ipomoea_pescaprae,0.089564087
Ipomoea_purpurea,0.577100426
Ipomoea_quamoclit,0.153478643
Ipomoea_sagittata,0.142372441
Iris_cristata,0.333695904
Iris_hexagona,0.08612722
Iris_prismatica,0.235124228
Iris_pseudacorus,0.56872371
Iris_verna,0.284214517
Iris_versicolor,0.525008051
Iris_virginica,0.403310934
Lathyrus_japonicus,0.111421924
Lathyrus_palustris,0.235817564
Leucaena_leucocephala,0.034065977
Lilium_canadense,0.549754181
Lilium_catesbaei,0.279082829
Lilium_philadelphicum,0.375951127
Lilium_superbum,0.295535652
Linnaea_borealis,0.354921244
Lobelia_dortmanna,0.141275135
Lobelia_flaccidifolia,0.069590821
Lobelia_glandulosa,0.259280669
Lobelia_homophylla,0.09256133
Lobelia_kalmii,0.240335897
Lonicera_bella,0.304934945
Lonicera_canadensis,0.373270176
Lonicera_japonica,0.816324059
Lonicera_sempervirens,0.669723157
Maianthemum_stellatum,0.251037176
Maianthemum_trifolium,0.26551952
Malus_pumila,0.53642273
Malva_neglecta,0.448436062
Menyanthes_trifoliata,0.315969603
Mimosa_microphylla,0.410048424
Mimosa_quadrivalvis,0.311181454
Mimosa_strigillosa,0.125921365
Mimulus_alatus,0.359175819
Mimulus_ringens,0.631863529
Mitchella_repens,0.905503759
Moneses_uniflora,0.371751928
