Species,threshold
Opuntia_humifusa,0.3944946
Opuntia_megacantha,0.05010377
Opuntia_pusilla,0.115172998
Opuntia_stricta,0.131014899
Ornithogalum_umbellatum,0.5379295
Orobanche_uniflora,0.5641777
Orthilia_secunda,0.3375241
Oxalis_corniculata,0.6935655
Oxalis_debilis,0.1322066
Oxalis_dillenii,0.6401259
Oxalis_grandis,0.2318685
Oxalis_montana,0.4423469
Oxalis_rubra,0.06440645
Oxalis_violacea,0.544051452
Parnassia_glauca,0.2902021
Passiflora_incarnata,0.5788963
Passiflora_lutea,0.2585926
Passiflora_suberosa,0.101072306
Paulownia_tomentosa,0.403718007
Phaseolus_polystachios,0.1641364
Phlox_amoena,0.26056251
Phlox_carolina,0.1798783
Phlox_divaricata,0.4397186
Phlox_drummondii,0.172811226
Phlox_floridana,0.041483729
Phlox_glaberrima,0.281255221
Phlox_maculata,0.3975734
Phlox_nivalis,0.259685439
Phlox_paniculata,0.5288197
Phlox_pilosa,0.1647804
Phlox_stolonifera,0.2580004
Phlox_subulata,0.5046087
Physalis_angulata,0.2316058
Physalis_angustifolia,0.142632438
Physalis_heterophylla,0.6646743
Physalis_longifolia,0.3596444
Physalis_pubescens,0.2473937
Physalis_walteri,0.118124993
Pinguicula_caerulea,0.1788176
Pinguicula_lutea,0.240529333
Pinguicula_pumila,0.166266738
Pogonia_ophioglossoides,0.5798136
Polygonatum_biflorum,0.6722085
Polygonatum_pubescens,0.5313621
Primula_mistassinica,0.06664652
Pyrola_americana,0.5111674
Pyrola_asarifolia,0.1746444
Pyrola_chlorantha,0.3659828
Pyrola_elliptica,0.5318862
Rhizophora_mangle,0.0343156
Rosa_blanda,0.6932284
Rosa_carolina,0.76371097
Rosa_gallica,0.1189161
Rosa_nitida,0.1178069
Rosa_palustris,0.7730057
Rosa_virginiana,0.3094092
Rubus_arenicola,0.06883384
Rubus_argutus,0.4149672
Rubus_chamaemorus,0.05939032
Rubus_cuneifolius,0.3452947
Rubus_elegantulus,0.1315064
Rubus_frondosus,0.1843291
Rubus_laciniatus,0.15457
Rubus_occidentalis,0.7335187
Rubus_odoratus,0.5224911
Rubus_pubescens,0.3821388
Rubus_recurvicaulis,0.1456138
Rubus_semisetosus,0.1367982
Rubus_trivialis,0.3357062
Rubus_vermontanus,0.1072609
Rudbeckia_fulgida,0.3088961
Rudbeckia_hirta,0.9145219
Rudbeckia_laciniata,0.7452209
Rudbeckia_triloba,0.4198866
Ruellia_caroliniensis,0.468411
Sabatia_angularis,0.362089812
Sabatia_bartramii,0.145034014
Sabatia_brevifolia,0.250763
Sabatia_calycina,0.16572889
Sabatia_campanulata,0.2644323
Sabatia_difformis,0.2296529
Sabatia_dodecandra,0.143911
Sabatia_grandiflora,0.217624278
Sabatia_stellaris,0.205681887
Sagittaria_australis,0.149539
Sagittaria_calycina,0.204129
Sagittaria_cuneata,0.1782478
Sagittaria_engelmanniana,0.151767906
Sagittaria_lancifolia,0.243047
Sagittaria_latifolia,0.9094655
Sagittaria_montevidensis,0.1894573
Sagittaria_rigida,0.2307188
Sagittaria_teres,0.02337864
Sarracenia_flava,0.3360853
Sarracenia_minor,0.277971205
Sarracenia_psittacina,0.11579629
Sarracenia_purpurea,0.640160681
Sarracenia_rubra,0.145024657
Scheuchzeria_palustris,0.2321011
Senna_obtusifolia,0.4206453
Senna_occidentalis,0.137782091
Silene_caroliniana,0.3320598
Silene_dioica,0.1715086
Silene_latifolia,0.625315
Silene_noctiflora,0.3313782
Silene_virginica,0.2953048
Sisyrinchium_angustifolium,0.7996755
