Species,threshold
Abutilon_theophrasti,0.37236957
Agrostemma_githago,0.029337733
Anagallis_arvensis,0.087155834
Asemeia_violacea,0.157432959
Bidens_vulgata,0.034595145
Catharanthus_roseus,0.077718127
Chamaecrista_fasciculata,0.373225136
Chamaecrista_nictitans,0.244941536
Coreopsis_basalis,0.049858907
Coreopsis_tinctoria,0.290368238
Datura_stramonium,0.332769133
Eustoma_exaltatum,0.0940156
Helenium_amarum,0.221923247
Helianthus_annuus,0.267421338
Helianthus_debilis,0.074476088
Hibiscus_moscheutos,0.33075066
Hibiscus_trionum,0.237678063
Houstonia_pusilla,0.248059221
Impatiens_capensis,0.542131792
Impatiens_pallida,0.274513683
Ipomoea_alba,0.062271039
Ipomoea_coccinea,0.155427715
Ipomoea_hederacea,0.243306368
Ipomoea_hederifolia,0.206547899
Ipomoea_indica,0.032863946
Ipomoea_lacunosa,0.17688626
Ipomoea_purpurea,0.301137894
Ipomoea_quamoclit,0.119322879
Lobelia_flaccidifolia,0.033696524
Malva_neglecta,0.171627449
Orobanche_uniflora,0.109487843
Oxalis_corniculata,0.320258839
Oxalis_grandis,0.068489561
Phlox_drummondii,0.058992161
Physalis_angulata,0.093641823
Physalis_pubescens,0.037254202
Pinguicula_pumila,0.05557353
Rudbeckia_hirta,0.58554126
Sabatia_angularis,0.145914913
Sabatia_bartramii,0.085759266
Sabatia_brevifolia,0.058444858
Sabatia_grandiflora,0.095126321
Sabatia_stellaris,0.058094315
Senna_occidentalis,0.050678649
Silene_noctiflora,0.032706917
Sisyrinchium_rosulatum,0.178468279
Solanum_americanum,0.213123997
Solanum_carolinense,0.606522426
Solanum_dulcamara,0.365059192
Solanum_lycopersicum,0.187590118
Solanum_nigrum,0.085665754
Solanum_ptycanthum,0.052552254
Solanum_rostratum,0.073574712
Utricularia_cornuta,0.180032714
Utricularia_juncea,0.04107985
Viola_bicolor,0.27912744
Viola_tricolor,0.04336813
