Species,threshold
Abutilon_theophrasti,0.375567586
Lobelia_flaccidifolia,0.035354864
Helianthus_debilis,0.18296294
Solanum_dulcamara,0.390069294
Silene_noctiflora,0.02742707
Ipomoea_hederifolia,0.254795668
Orobanche_uniflora,0.086594257
Anagallis_arvensis,0.078195733
Hibiscus_trionum,0.220548191
Solanum_americanum,0.194587972
Solanum_nigrum,0.054381718
Impatiens_capensis,0.602283346
Ipomoea_lacunosa,0.151912011
Bidens_vulgata,0.040776377
Eustoma_exaltatum,0.111424584
Viola_bicolor,0.144607438
Oxalis_corniculata,0.366192555
Ipomoea_quamoclit,0.129282441
Chamaecrista_fasciculata,0.360884958
Helianthus_annuus,0.300302522
Physalis_angulata,0.092367696
Senna_occidentalis,0.054501525
Malva_neglecta,0.172497925
Phlox_drummondii,0.043134125
Agrostemma_githago,0.018270032
Solanum_rostratum,0.095990551
Coreopsis_basalis,0.05761667
Sabatia_stellaris,0.148202258
Sisyrinchium_rosulatum,0.230211549
Chamaecrista_nictitans,0.256469667
Datura_stramonium,0.325126719
Utricularia_juncea,0.042653831
Houstonia_pusilla,0.221004858
Solanum_carolinense,0.60583925
Ipomoea_purpurea,0.374978614
Helenium_amarum,0.218779948
Utricularia_cornuta,0.178912416
Catharanthus_roseus,0.071533124
Physalis_pubescens,0.037092542
Solanum_lycopersicum,0.190365233
Viola_tricolor,0.025847081
Ipomoea_coccinea,0.163572854
Sabatia_angularis,0.163770082
Sabatia_grandiflora,0.271394403
Rudbeckia_hirta,0.573783463
Pinguicula_pumila,0.038174965
Impatiens_pallida,0.25091877
Coreopsis_tinctoria,0.306215368
Sabatia_brevifolia,0.050975842
Sabatia_bartramii,0.101157972
Ipomoea_hederacea,0.241711462
Oxalis_grandis,0.082997659
Ipomoea_alba,0.024527936
Asemeia_violacea,0.144226361
Ipomoea_indica,0.042225463
Solanum_ptycanthum,0.060969643
Hibiscus_moscheutos,0.338894659
