Gridcode,longitude,latitude
100097,-86.741,30.469
100098,-86.369,30.459
100099,-86.005,30.411
100100,-85.659,30.393
100101,-85.299,30.393
100102,-84.94,30.393
100103,-84.581,30.393
100104,-84.221,30.393
100105,-83.862,30.393
100106,-83.503,30.393
100107,-83.143,30.393
100108,-82.784,30.393
100109,-82.425,30.393
100110,-82.065,30.393
100111,-81.706,30.393
100112,-87.394,30.735
100113,-87.096,30.703
100114,-86.737,30.703
100115,-86.377,30.703
100116,-86.018,30.703
100117,-85.659,30.703
100118,-85.299,30.703
100119,-84.94,30.703
100120,-84.581,30.703
100121,-84.221,30.703
100122,-83.862,30.703
100123,-83.503,30.703
100124,-83.143,30.703
100125,-82.784,30.703
100126,-82.425,30.703
100127,-82.065,30.703
100128,-81.706,30.703
100129,-84.92,31.003
100130,-84.581,31.011
100131,-84.221,31.011
100132,-83.862,31.011
100133,-83.503,31.011
100134,-83.143,31.011
100135,-82.784,31.011
100136,-82.425,31.011
100137,-82.065,31.011
100138,-81.706,31.011
100139,-84.926,31.315
100140,-84.581,31.319
100141,-84.221,31.319
100142,-83.862,31.319
100143,-83.503,31.319
100144,-83.143,31.319
100145,-82.784,31.319
100146,-82.425,31.319
100147,-82.065,31.319
100148,-81.706,31.319
100149,-81.401,31.329
100150,-84.922,31.632
100151,-84.581,31.625
100152,-84.221,31.625
100153,-83.862,31.625
100154,-83.503,31.625
100155,-83.143,31.625
100156,-82.784,31.625
100157,-82.425,31.625
100158,-82.065,31.625
100159,-81.706,31.625
100160,-81.354,31.628
100161,-84.927,31.924
100162,-84.581,31.931
100163,-84.221,31.931
100164,-83.862,31.931
100165,-83.503,31.931
100166,-83.143,31.931
100167,-82.784,31.931
100168,-82.425,31.931
100169,-82.065,31.931
100170,-81.706,31.931
100171,-81.347,31.931
100172,-81.044,31.959
100173,-84.879,32.224
100174,-84.581,32.235
100175,-84.221,32.235
100176,-83.862,32.235
100177,-83.503,32.235
100178,-83.143,32.235
100179,-82.784,32.235
100180,-82.425,32.235
100181,-82.065,32.235
100182,-81.706,32.235
100183,-81.347,32.235
100184,-80.99,32.237
100185,-84.901,32.553
100186,-84.581,32.539
100187,-84.221,32.539
100188,-83.862,32.539
100189,-83.503,32.539
100190,-83.143,32.539
100191,-82.784,32.539
100192,-82.425,32.539
100193,-82.065,32.539
100194,-81.706,32.539
100195,-81.347,32.539
100196,-80.987,32.539
100197,-80.632,32.54
100198,-80.294,32.602
100199,-84.94,32.841
100200,-84.581,32.841
100201,-84.221,32.841
100202,-83.862,32.841
100203,-83.503,32.841
100204,-83.143,32.841
100205,-82.784,32.841
100206,-82.425,32.841
100207,-82.065,32.841
100208,-81.706,32.841
100209,-81.347,32.841
100210,-80.987,32.841
100211,-80.628,32.841
100212,-80.269,32.841
100213,-79.925,32.857
100214,-84.94,33.142
100215,-84.581,33.142
100216,-84.221,33.142
100217,-83.862,33.142
100218,-83.503,33.142
100219,-83.143,33.142
100220,-82.784,33.142
100221,-82.425,33.142
100222,-82.065,33.142
100223,-81.706,33.142
100224,-81.347,33.142
100225,-80.987,33.142
100226,-80.628,33.142
100227,-80.269,33.142
100228,-79.909,33.142
100229,-79.553,33.149
100230,-84.94,33.443
100231,-84.581,33.443
100232,-84.221,33.443
100233,-83.862,33.443
100234,-83.503,33.443
100235,-83.143,33.443
100236,-82.784,33.443
100237,-82.425,33.443
100238,-82.065,33.443
100239,-81.706,33.443
100240,-81.347,33.443
100241,-80.987,33.443
100242,-80.628,33.443
100243,-80.269,33.443
100244,-79.909,33.443
100245,-79.55,33.443
100246,-79.229,33.46
100247,-85.238,33.748
100248,-84.94,33.742
100249,-84.581,33.742
100250,-84.221,33.742
100251,-83.862,33.742
100252,-83.503,33.742
100253,-83.143,33.742
100254,-82.784,33.742
100255,-82.425,33.742
100256,-82.065,33.742
100257,-81.706,33.742
100258,-81.347,33.742
100259,-80.987,33.742
100260,-80.628,33.742
100261,-80.269,33.742
100262,-79.909,33.742
100263,-79.55,33.742
100264,-79.191,33.742
100265,-78.876,33.789
100266,-85.267,34.045
100267,-84.94,34.04
100268,-84.581,34.04
100269,-84.221,34.04
100270,-83.862,34.04
100271,-83.503,34.04
100272,-83.143,34.04
100273,-82.784,34.04
100274,-82.425,34.04
100275,-82.065,34.04
100276,-81.706,34.04
100277,-81.347,34.04
100278,-80.987,34.04
100279,-80.628,34.04
100280,-80.269,34.04
100281,-79.909,34.04
100282,-79.55,34.04
100283,-79.191,34.04
100284,-78.831,34.04
100285,-78.474,34.042
100286,-78.11,34.047
100287,-85.294,34.34
100288,-84.94,34.337
100289,-84.581,34.337
100290,-84.221,34.337
100291,-83.862,34.337
100292,-83.503,34.337
100293,-83.143,34.337
100294,-82.784,34.337
100295,-82.425,34.337
100296,-82.065,34.337
100297,-81.706,34.337
100298,-81.347,34.337
100299,-80.987,34.337
100300,-80.628,34.337
100301,-80.269,34.337
100302,-79.909,34.337
100303,-79.55,34.337
100304,-79.191,34.337
100305,-78.831,34.337
100306,-78.472,34.337
100307,-78.113,34.337
100308,-77.788,34.364
100309,-85.299,34.634
100310,-84.94,34.634
100311,-84.581,34.634
100312,-84.221,34.634
100313,-83.862,34.634
100314,-83.503,34.634
100315,-83.143,34.634
100316,-82.784,34.634
100317,-82.425,34.634
100318,-82.065,34.634
100319,-81.706,34.634
100320,-81.347,34.634
100321,-80.987,34.634
100322,-80.628,34.634
100323,-80.269,34.634
100324,-79.909,34.634
100325,-79.55,34.634
100326,-79.191,34.634
100327,-78.831,34.634
100328,-78.472,34.634
100329,-78.113,34.634
100330,-77.753,34.634
100331,-77.409,34.648
100332,-85.299,34.883
100333,-84.94,34.884
100334,-84.581,34.885
100335,-84.211,34.921
100336,-83.862,34.929
100337,-83.503,34.929
100338,-83.143,34.929
100339,-82.784,34.929
100340,-82.425,34.929
100341,-82.065,34.929
100342,-81.706,34.929
100343,-81.347,34.929
100344,-80.987,34.929
100345,-80.628,34.929
100346,-80.269,34.929
100347,-79.909,34.929
100348,-79.55,34.929
100349,-79.191,34.929
