Species,Growth_Form,Status
Claytonia_caroliniana,Herbaceous perennial,Native
Claytonia_virginica,Herbaceous perennial,Native
Clinopodium_coccineum,Woody,Native
Clitoria_mariana,Herbaceous perennial,Native
Coreopsis_auriculata,Herbaceous perennial,Native
Coreopsis_basalis,Herbaceous annual,Native
Coreopsis_gladiata,Herbaceous perennial,Native
Coreopsis_grandiflora,Herbaceous perennial,Native
Coreopsis_lanceolata,Herbaceous perennial,Native
Coreopsis_leavenworthii,Herbaceous perennial,Native
Coreopsis_linifolia,Herbaceous perennial,Native
Coreopsis_major,Herbaceous perennial,Native
Coreopsis_nudata,Herbaceous perennial,Native
Coreopsis_rosea,Herbaceous perennial,Native
Coreopsis_tinctoria,Herbaceous annual,Native
Coreopsis_tripteris,Herbaceous perennial,Native
Coreopsis_verticillata,Herbaceous perennial,Native
Crinum_americanum,Herbaceous perennial,Native
Datura_stramonium,Herbaceous annual,Introduced
Dirca_palustris,Woody,Native
Distimake_dissectus,Woody,Native
Dodecatheon_meadia,Herbaceous perennial,Native
Eustoma_exaltatum,Herbaceous annual,Native
Galactia_regularis,Herbaceous perennial,Native
Gelsemium_rankinii,Vine perennial,Native
Gelsemium_sempervirens,Woody,Native
Geum_aleppicum,Herbaceous perennial,Native
Geum_canadense,Herbaceous perennial,Native
Geum_laciniatum,Herbaceous perennial,Native
Geum_macrophyllum,Herbaceous perennial,Native
Geum_peckii,Herbaceous perennial,Native
Geum_rivale,Herbaceous perennial,Native
Geum_virginianum,Herbaceous perennial,Native
Gordonia_lasianthus,Woody,Native
Helianthus_angustifolius,Herbaceous perennial,Native
Helianthus_annuus,Herbaceous annual,Native
Helianthus_atrorubens,Herbaceous perennial,Native
Helianthus_debilis,Herbaceous annual,Native
Helianthus_decapetalus,Herbaceous perennial,Native
Helianthus_divaricatus,Herbaceous perennial,Native
Helianthus_giganteus,Herbaceous perennial,Native
Helianthus_hirsutus,Herbaceous perennial,Native
Helianthus_laetiflorus,Herbaceous perennial,Native
Helianthus_radula,Herbaceous perennial,Native
Helianthus_strumosus,Herbaceous perennial,Native
Hexastylis_heterophylla,Herbaceous perennial,Native
Hexastylis_shuttleworthii,Herbaceous perennial,Native
Houstonia_caerulea,Herbaceous perennial,Native
Houstonia_purpurea,Herbaceous perennial,Native
Houstonia_pusilla,Herbaceous annual,Native
Hypericum_ascyron,Herbaceous perennial,Native
Illicium_floridanum,Woody,Native
Impatiens_pallida,Herbaceous annual,Native
Ionactis_linariifolius,Herbaceous perennial,Native
Ipomoea_alba,Herbaceous annual,Native
Ipomoea_coccinea,Herbaceous annual,Introduced
Ipomoea_cordatotriloba,Herbaceous perennial,Native
Ipomoea_hederacea,Herbaceous annual,Introduced
Ipomoea_hederifolia,Herbaceous annual,Native
Ipomoea_indica,Herbaceous annual,Introduced
Ipomoea_lacunosa,Herbaceous annual,Native
Ipomoea_pandurata,Herbaceous perennial,Native
Ipomoea_pescaprae,Herbaceous perennial,Native
Ipomoea_purpurea,Herbaceous annual,Introduced
Ipomoea_quamoclit,Herbaceous annual,Introduced
Ipomoea_sagittata,Herbaceous perennial,Native
Lathyrus_japonicus,Herbaceous perennial,Native
Lathyrus_palustris,Herbaceous perennial,Native
Leucaena_leucocephala,Woody,Introduced
Linnaea_borealis,Herbaceous perennial,Native
Lobelia_dortmanna,Herbaceous perennial,Native
Lobelia_flaccidifolia,Herbaceous annual,Native
Lobelia_glandulosa,Herbaceous perennial,Native
Lobelia_homophylla,Herbaceous perennial,Native
Lobelia_kalmii,Herbaceous perennial,Native
Lonicera_sempervirens,Vine perennial,Native
Maianthemum_stellatum,Herbaceous perennial,Native
Maianthemum_trifolium,Herbaceous perennial,Native
Menyanthes_trifoliata,Herbaceous perennial,Native
Mimulus_alatus,Herbaceous perennial,Native
Mimulus_ringens,Herbaceous perennial,Native
Mitchella_repens,Herbaceous perennial,Native
Moneses_uniflora,Herbaceous perennial,Native
Narcissus_poeticus,Herbaceous perennial,Introduced
Narcissus_pseudonarcissus,Herbaceous perennial,Introduced
Nelumbo_lutea,Herbaceous perennial,Native
Nothoscordum_bivalve,Herbaceous perennial,Native
Nuphar_lutea,Herbaceous perennial,Native
Nymphaea_odorata,Herbaceous perennial,Native
Ornithogalum_umbellatum,Herbaceous perennial,Introduced
Orthilia_secunda,Woody,Native
Oxalis_corniculata,Herbaceous annual,Native
Oxalis_debilis,Herbaceous perennial,Introduced
Oxalis_dillenii,Herbaceous perennial,Native
Oxalis_grandis,Herbaceous annual,Native
Oxalis_montana,Herbaceous perennial,Native
Oxalis_rubra,Herbaceous perennial,Introduced
Oxalis_violacea,Herbaceous perennial,Native
Parnassia_glauca,Herbaceous perennial,Native
Paulownia_tomentosa,Woody,Introduced
Phaseolus_polystachios,Herbaceous perennial,Native
Phlox_floridana,Herbaceous perennial,Native
Phlox_maculata,Herbaceous perennial,Native
Pinguicula_caerulea,Herbaceous perennial,Native
Pinguicula_lutea,Herbaceous perennial,Native
Pinguicula_pumila,Herbaceous annual,Native
Pogonia_ophioglossoides,Herbaceous perennial,Native
Polygonatum_biflorum,Herbaceous perennial,Native
Polygonatum_pubescens,Herbaceous perennial,Native
Primula_mistassinica,Herbaceous perennial,Native
Pyrola_americana,Woody,Native
Pyrola_asarifolia,Woody,Native
Pyrola_chlorantha,Woody,Native
Pyrola_elliptica,Woody,Native
Rhizophora_mangle,Woody,Native
Rubus_arenicola,Woody,Native
Rubus_argutus,Woody,Native
Rubus_chamaemorus,Woody,Native
Rubus_cuneifolius,Woody,Native
Rubus_elegantulus,Woody,Native
Rubus_frondosus,Woody,Native
Rubus_laciniatus,Woody,Introduced
Rubus_occidentalis,Woody,Native
Rubus_pubescens,Woody,Native
Rubus_recurvicaulis,Woody,Native
Rubus_semisetosus,Woody,Native
Rubus_trivialis,Woody,Native
Rubus_vermontanus,Woody,Native
Ruellia_caroliniensis,Herbaceous perennial,Native
Sagittaria_australis,Herbaceous perennial,Native
Sagittaria_calycina,Herbaceous perennial,Native
Sagittaria_cuneata,Herbaceous perennial,Native
Sagittaria_engelmanniana,Herbaceous perennial,Native
Sagittaria_lancifolia,Herbaceous perennial,Native
Sagittaria_latifolia,Herbaceous perennial,Native
Sagittaria_montevidensis,Herbaceous perennial,Introduced
Sagittaria_rigida,Herbaceous perennial,Native
Sagittaria_teres,Herbaceous perennial,Native
Sarracenia_rubra,Herbaceous perennial,Native
Scheuchzeria_palustris,Herbaceous perennial,Native
Senna_obtusifolia,Herbaceous perennial,Native
Senna_occidentalis,Herbaceous annual,Introduced
Silene_caroliniana,Herbaceous perennial,Native
Silene_dioica,Herbaceous perennial,Introduced
Silene_latifolia,Herbaceous perennial,Introduced
Silene_noctiflora,Herbaceous annual,Introduced
Silene_virginica,Herbaceous perennial,Native
Sisyrinchium_angustifolium,Herbaceous perennial,Native
Sisyrinchium_atlanticum,Herbaceous perennial,Native
Sisyrinchium_fuscatum,Herbaceous perennial,Native
Sisyrinchium_montanum,Herbaceous perennial,Native
Sisyrinchium_nashii,Herbaceous perennial,Native
Sisyrinchium_rosulatum,Herbaceous annual,Native
Solanum_americanum,Herbaceous annual,Native
Solanum_carolinense,Herbaceous annual,Native
Solanum_dulcamara,Herbaceous annual,Introduced
Solanum_lycopersicum,Herbaceous annual,Introduced
Solanum_nigrum,Herbaceous annual,Introduced
Solanum_ptycanthum,Herbaceous annual,Native
Staphylea_trifolia,Woody,Native
Stewartia_malacodendron,Woody,Native
Stewartia_ovata,Woody,Native
Tribulus_cistoides,Herbaceous perennial,Introduced
Trientalis_borealis,Herbaceous perennial,Native
Urena_lobata,Woody,Introduced
Utricularia_cornuta,Herbaceous annual,Native
Utricularia_juncea,Herbaceous annual,Native
Verbascum_blattaria,Herbaceous perennial,Introduced
Vigna_luteola,Herbaceous perennial,Native
Viola_adunca,Herbaceous perennial,Native
Viola_affinis,Herbaceous perennial,Native
Viola_bicolor,Herbaceous annual,Native
Viola_brittoniana,Herbaceous perennial,Native
Viola_canadensis,Herbaceous perennial,Native
Viola_hastata,Herbaceous perennial,Native
Viola_hirsutula,Herbaceous perennial,Native
